rankbreeze_Id,rental_id,orig_price_per_night,cleaning_fee,service_fee,total_price,price_per_night,check_in_date,check_out_date
51045,862225236403589050,525.0,350.0,234.0,1894.0,328.0,2024-06-11,2024-06-15
51045,862225236403589050,354.0,330.0,203.0,1644.0,278.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,459.0,0,2491.0,508.0,2024-06-11,2024-06-15
69715,37938829,435.0,561.0,229.0,1848.0,265.0,2024-06-11,2024-06-15
69715,37938829,420.0,424.0,188.0,1518.0,227.0,2024-06-11,2024-06-15
69715,37938829,159.0,339.0,120.0,969.0,128.0,2024-06-11,2024-06-15
69715,37938829,474.0,549.0,233.0,1883.0,275.0,2024-06-11,2024-06-15
69715,37938829,245.0,290.0,143.0,1158.0,181.0,2024-06-11,2024-06-15
69715,37938829,488.0,369.0,261.0,2111.0,370.0,2024-06-11,2024-06-15
69715,37938829,0.0,599.0,380.0,3070.0,523.0,2024-06-11,2024-06-15
69715,37938829,0.0,380.0,248.0,2008.0,345.0,2024-06-11,2024-06-15
69715,37938829,407.0,395.0,232.0,1877.0,313.0,2024-06-11,2024-06-15
69715,37938829,488.0,369.0,261.0,2111.0,370.0,2024-06-11,2024-06-15
69715,37938829,0.0,595.0,539.0,4357.0,806.0,2024-06-11,2024-06-15
69715,37938829,329.0,450.0,201.0,1628.0,244.0,2024-06-11,2024-06-15
69715,37938829,524.0,519.0,299.0,2414.0,399.0,2024-06-11,2024-06-15
69715,37938829,449.0,360.0,190.0,1538.0,247.0,2024-06-11,2024-06-15
69715,37938829,246.0,299.0,159.0,1284.0,207.0,2024-06-11,2024-06-15
69715,37938829,0.0,275.0,195.0,1576.0,277.0,2024-06-11,2024-06-15
69715,37938829,499.0,419.0,277.0,2237.0,385.0,2024-06-11,2024-06-15
69715,37938829,412.0,369.0,232.0,1877.0,319.0,2024-06-11,2024-06-15
69715,37938829,475.0,429.0,286.0,2312.0,399.0,2024-06-11,2024-06-15
69715,37938829,400.0,385.0,239.0,1934.0,328.0,2024-06-11,2024-06-15
69715,37938829,0.0,299.0,164.0,1329.0,217.0,2024-06-11,2024-06-15
69715,37938829,388.0,369.0,232.0,1877.0,319.0,2024-06-11,2024-06-15
69715,37938829,324.0,300.0,191.0,1547.0,264.0,2024-06-11,2024-06-15
69715,37938829,322.0,299.0,193.0,1563.0,268.0,2024-06-11,2024-06-15
69715,37938829,370.0,455.0,200.0,1614.0,240.0,2024-06-11,2024-06-15
69715,37938829,0.0,255.0,146.0,1181.0,195.0,2024-06-11,2024-06-15
69715,37938829,378.0,400.0,189.0,1525.0,234.0,2024-06-11,2024-06-15
69715,37938829,354.0,330.0,203.0,1644.0,278.0,2024-06-11,2024-06-15
69715,37938829,206.0,285.0,128.0,1038.0,156.0,2024-06-11,2024-06-15
69715,37938829,387.0,369.0,232.0,1877.0,319.0,2024-06-11,2024-06-15
69715,37938829,0.0,250.0,180.0,1456.0,257.0,2024-06-11,2024-06-15
69715,37938829,0.0,590.0,362.0,2927.0,494.0,2024-06-11,2024-06-15
69715,37938829,315.0,339.0,194.0,1566.0,258.0,2024-06-11,2024-06-15
69715,37938829,205.0,245.0,137.0,1108.0,182.0,2024-06-11,2024-06-15
